Shrt_Desc	Calories
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D"	243
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D"	250
"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D"	233
"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D"	238
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D"	208
"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D"	73
"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D"	190
"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR"	45
"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR"	198
DULCE DE LECHE	60
"EGG SUB,LIQ OR FRZ,FAT FREE"	115
"CHEESE,DRY WHITE,QUESO SECO"	315
"CHEESE,FRSH,QUESO FRESCO"	365
"CHEESE,WHITE,QUESO BLANCO"	366
"MILK,BTTRMLK,FLUID,WHL"	152
"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR"	146
"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR"	71
"ICE CRM,SOFT SERVE,CHOC"	191
"ICE CRM,BAR OR STK,CHOC COVERED"	166
ICE CRM SNDWCH	166
ICE CRM COOKIE SNDWCH	197
"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC"	340
"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA"	130
"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"	140
"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC"	88
"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"	100
"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ"	200
"CHEESE,MEXICAN BLEND"	100
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT"	59
"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D"	519
"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D"	373
"EGG,WHL,RAW,FRZ,SALTED,PAST"	0
"YOGURT,GREEK,PLN,NONFAT"	100
"EGG,WHITE,DRIED,STABILIZED,GLUCOSE RED"	387
"ALLSPICE,GROUND"	16
ANISE SEED	23
"SPICES,BASIL,DRIED"	2
"SPICES,BAY LEAF"	6
CARAWAY SEED	22
"SPICES,CARDAMOM"	18
CELERY SEED	25
"CHERVIL,DRIED"	5
CHILI POWDER	23
"CINNAMON,GROUND"	20
"CLOVES,GROUND"	18
"CORIANDER LEAF,DRIED"	5
CORIANDER SEED	15
CUMIN SEED	23
CURRY POWDER	20
DILL SEED	20
"DILL WEED,DRIED"	8
FENNEL SEED	20
FENUGREEK SEED	36
GARLIC POWDER	32
"GINGER,GROUND"	17
"MACE,GROUND"	25
"MARJORAM,DRIED"	5
"SPICES,MUSTARD SD,GROUND"	32
"NUTMEG,GROUND"	37
ONION POWDER	24
"SPICES,OREGANO,DRIED"	3
PAPRIKA	19
"PARSLEY,DRIED"	1
"PEPPER,BLACK"	17
"PEPPER,RED OR CAYENNE"	17
"PEPPER,WHITE"	21
POPPY SEED	46
POULTRY SEASONING	14
PUMPKIN PIE SPICE	19
"ROSEMARY,DRIED"	11
SAFFRON	7
"SAGE,GROUND"	6
"SAVORY,GROUND"	12
"SPICES,TARRAGON,DRIED"	2
"SPICES,THYME,DRIED"	3
"TURMERIC,GROUND"	24
"BASIL,FRESH"	1
"DILL WEED,FRSH"	4
"MUSTARD,PREPARED,YELLOW"	3
"SALT,TABLE"	0
"VINEGAR,CIDER"	50
"THYME,FRSH"	1
VANILLA EXTRACT	599
"VANILLA EXTRACT,IMITN,ALCOHOL"	31
"VANILLA EXTRACT,IMITN,NO ALCOHOL"	7
"VINEGAR,DISTILLED"	43
"CAPERS,CANNED"	2
"HORSERADISH,PREPARED"	7
"ROSEMARY,FRESH"	2
"PEPPERMINT,FRESH"	2
"SPEARMINT,FRESH"	5
"SPEARMINT,DRIED"	5
"VINEGAR,RED WINE"	45
"VINEGAR,BALSAMIC"	224
